task_form,succes_mnli_90
AA1,0.08653846153846154
AA2,0.0
AA3,0.898989898989899
AA4,0.0
AE1,0.9705882352941176
AE2,0.0
AE3,0.696969696969697
AE4,0.0
AI1,0.5643564356435643
AI2,0.009708737864077669
AI3,0.9813084112149533
AI4,0.31683168316831684
AO1,0.4158415841584158
AO2,0.3867924528301887
AO3,0.25252525252525254
AO4,0.53125
EA1,0.0
EA2,0.08571428571428572
EA3,0.020202020202020204
EA4,0.0
EE1,0.44761904761904764
EE2,0.9230769230769231
EE3,0.8163265306122449
EE4,0.1792452830188679
EI1,0.02
EI2,0.04672897196261682
EI3,0.0
EI4,0.03
EO1,0.8691588785046729
EO2,0.12871287128712872
EO3,0.4672897196261682
EO4,0.7142857142857143
IA1,0.0
IA2,1.0
IA3,0.9803921568627451
IA4,0.0
IE1,0.04950495049504951
IE2,0.0
IE3,0.009523809523809525
IE4,0.0
II1,0.9238095238095239
II2,1.0
II3,0.9908256880733946
II4,0.8367346938775511
IO1,0.7549019607843137
IO2,0.7019230769230769
IO3,0.9504950495049505
IO4,0.6021505376344086
OA1,0.5656565656565656
OA2,0.9158878504672897
OA3,0.8105263157894737
OA4,0.8061224489795918
OE1,0.27358490566037735
OE2,0.9611650485436893
OE3,0.68
OE4,0.46153846153846156
OI1,0.8867924528301887
OI2,0.9509803921568627
OI3,0.9901960784313726
OI4,0.8854166666666666
OO1,0.95
OO2,1.0
OO3,0.6534653465346535
OO4,0.9696969696969697
