task_form,succes_mnli_50
AA1,0.3269230769230769
AA2,0.04040404040404041
AA3,0.7171717171717171
AA4,0.0
AE1,1.0
AE2,0.0
AE3,0.9696969696969697
AE4,0.0
AI1,0.1485148514851485
AI2,0.10679611650485436
AI3,0.6074766355140186
AI4,0.693069306930693
AO1,0.07920792079207921
AO2,0.018867924528301886
AO3,0.8383838383838383
AO4,0.8020833333333334
EA1,0.0
EA2,0.34285714285714286
EA3,0.15151515151515152
EA4,0.0
EE1,0.01904761904761905
EE2,0.2692307692307692
EE3,0.20408163265306123
EE4,0.0
EI1,0.58
EI2,0.40186915887850466
EI3,0.10891089108910891
EI4,0.68
EO1,0.14018691588785046
EO2,0.0
EO3,0.018691588785046728
EO4,0.09523809523809523
IA1,0.021505376344086023
IA2,0.9056603773584906
IA3,0.7647058823529411
IA4,0.0425531914893617
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.6761904761904762
II2,0.9090909090909091
II3,0.8165137614678899
II4,0.6020408163265306
IO1,0.19607843137254902
IO2,0.1346153846153846
IO3,0.4752475247524752
IO4,0.25806451612903225
OA1,0.020202020202020204
OA2,0.719626168224299
OA3,0.22105263157894736
OA4,0.4897959183673469
OE1,0.0
OE2,0.2815533980582524
OE3,0.07
OE4,0.019230769230769232
OI1,0.2169811320754717
OI2,0.7058823529411765
OI3,0.43137254901960786
OI4,0.4479166666666667
OO1,0.33
OO2,0.5660377358490566
OO3,0.1188118811881188
OO4,0.7171717171717171
