task_form,succes_mnli_10
AA1,0.6634615384615384
AA2,0.23232323232323232
AA3,0.31313131313131315
AA4,0.0
AE1,1.0
AE2,0.0
AE3,1.0
AE4,0.0
AI1,0.0
AI2,0.3786407766990291
AI3,0.028037383177570093
AI4,0.8811881188118812
AO1,0.0
AO2,0.0
AO3,0.9191919191919192
AO4,0.8854166666666666
EA1,0.010101010101010102
EA2,0.9238095238095239
EA3,0.7373737373737373
EA4,0.0
EE1,0.0
EE2,0.0
EE3,0.0
EE4,0.0
EI1,0.6
EI2,0.5607476635514018
EI3,0.19801980198019803
EI4,0.75
EO1,0.0
EO2,0.0
EO3,0.0
EO4,0.0
IA1,0.4838709677419355
IA2,0.09433962264150944
IA3,0.1568627450980392
IA4,0.30851063829787234
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.13333333333333333
II2,0.16161616161616163
II3,0.1651376146788991
II4,0.2653061224489796
IO1,0.0
IO2,0.0
IO3,0.009900990099009901
IO4,0.0
OA1,0.0
OA2,0.018691588785046728
OA3,0.0
OA4,0.04081632653061224
OE1,0.0
OE2,0.0
OE3,0.0
OE4,0.0
OI1,0.0
OI2,0.0392156862745098
OI3,0.0
OI4,0.0
OO1,0.0
OO2,0.009433962264150943
OO3,0.0
OO4,0.030303030303030304
