task_form,succes_simple_0.9999972
AA1,0.36538461538461536
AA2,0.20202020202020202
AA3,0.5656565656565656
AA4,0.04950495049504951
AE1,0.049019607843137254
AE2,0.01
AE3,0.04040404040404041
AE4,0.02
AI1,0.44554455445544555
AI2,0.32038834951456313
AI3,0.4672897196261682
AI4,0.37623762376237624
AO1,0.40594059405940597
AO2,0.44339622641509435
AO3,0.050505050505050504
AO4,0.125
EA1,0.0
EA2,0.009523809523809525
EA3,0.020202020202020204
EA4,0.0
EE1,0.3523809523809524
EE2,0.4423076923076923
EE3,0.4897959183673469
EE4,0.37735849056603776
EI1,0.01
EI2,0.028037383177570093
EI3,0.009900990099009901
EI4,0.0
EO1,0.34579439252336447
EO2,0.42574257425742573
EO3,0.4672897196261682
EO4,0.3333333333333333
IA1,0.41935483870967744
IA2,0.37735849056603776
IA3,0.46078431372549017
IA4,0.425531914893617
IE1,0.009900990099009901
IE2,0.020833333333333332
IE3,0.047619047619047616
IE4,0.027522935779816515
II1,0.37142857142857144
II2,0.31313131313131315
II3,0.3486238532110092
II4,0.32653061224489793
IO1,0.3235294117647059
IO2,0.3076923076923077
IO3,0.4158415841584158
IO4,0.3548387096774194
OA1,0.23232323232323232
OA2,0.3644859813084112
OA3,0.3157894736842105
OA4,0.2755102040816326
OE1,0.3018867924528302
OE2,0.33980582524271846
OE3,0.32
OE4,0.28846153846153844
OI1,0.22641509433962265
OI2,0.38235294117647056
OI3,0.29411764705882354
OI4,0.2708333333333333
OO1,0.32
OO2,0.3867924528301887
OO3,0.3564356435643564
OO4,0.26262626262626265
