task_form,succes_mnli_30
AA1,0.4423076923076923
AA2,0.06060606060606061
AA3,0.6060606060606061
AA4,0.0
AE1,1.0
AE2,0.0
AE3,1.0
AE4,0.0
AI1,0.0297029702970297
AI2,0.27184466019417475
AI3,0.2897196261682243
AI4,0.801980198019802
AO1,0.009900990099009901
AO2,0.0
AO3,0.898989898989899
AO4,0.8645833333333334
EA1,0.0
EA2,0.5428571428571428
EA3,0.25252525252525254
EA4,0.0
EE1,0.0
EE2,0.04807692307692308
EE3,0.05102040816326531
EE4,0.0
EI1,0.59
EI2,0.5514018691588785
EI3,0.1782178217821782
EI4,0.75
EO1,0.018691588785046728
EO2,0.0
EO3,0.0
EO4,0.0
IA1,0.11827956989247312
IA2,0.7641509433962265
IA3,0.5392156862745098
IA4,0.14893617021276595
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.5238095238095238
II2,0.696969696969697
II3,0.6330275229357798
II4,0.4489795918367347
IO1,0.0196078431372549
IO2,0.0
IO3,0.19801980198019803
IO4,0.03225806451612903
OA1,0.0
OA2,0.4485981308411215
OA3,0.042105263157894736
OA4,0.336734693877551
OE1,0.0
OE2,0.02912621359223301
OE3,0.0
OE4,0.0
OI1,0.05660377358490566
OI2,0.4117647058823529
OI3,0.10784313725490197
OI4,0.20833333333333334
OO1,0.06
OO2,0.2358490566037736
OO3,0.0297029702970297
OO4,0.4444444444444444
