task_form,succes_mnli_05
AA1,0.7403846153846154
AA2,0.37373737373737376
AA3,0.1919191919191919
AA4,0.0
AE1,1.0
AE2,0.0
AE3,1.0
AE4,0.0
AI1,0.0
AI2,0.3786407766990291
AI3,0.0
AI4,0.8811881188118812
AO1,0.0
AO2,0.0
AO3,0.9191919191919192
AO4,0.8854166666666666
EA1,0.010101010101010102
EA2,0.9809523809523809
EA3,0.9191919191919192
EA4,0.0
EE1,0.0
EE2,0.0
EE3,0.0
EE4,0.0
EI1,0.6
EI2,0.5607476635514018
EI3,0.19801980198019803
EI4,0.75
EO1,0.0
EO2,0.0
EO3,0.0
EO4,0.0
IA1,0.5806451612903226
IA2,0.0
IA3,0.0392156862745098
IA4,0.39361702127659576
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.01904761904761905
II2,0.020202020202020204
II3,0.01834862385321101
II4,0.12244897959183673
IO1,0.0
IO2,0.0
IO3,0.0
IO4,0.0
OA1,0.0
OA2,0.0
OA3,0.0
OA4,0.0
OE1,0.0
OE2,0.0
OE3,0.0
OE4,0.0
OI1,0.0
OI2,0.0
OI3,0.0
OI4,0.0
OO1,0.0
OO2,0.0
OO3,0.0
OO4,0.0
