task_form,succes_mnli_60
AA1,0.25961538461538464
AA2,0.030303030303030304
AA3,0.7575757575757576
AA4,0.0
AE1,1.0
AE2,0.0
AE3,0.9696969696969697
AE4,0.0
AI1,0.2079207920792079
AI2,0.07766990291262135
AI3,0.7663551401869159
AI4,0.6138613861386139
AO1,0.10891089108910891
AO2,0.018867924528301886
AO3,0.7777777777777778
AO4,0.7395833333333334
EA1,0.0
EA2,0.23809523809523808
EA3,0.1111111111111111
EA4,0.0
EE1,0.0380952380952381
EE2,0.49038461538461536
EE3,0.3673469387755102
EE4,0.0
EI1,0.55
EI2,0.29906542056074764
EI3,0.06930693069306931
EI4,0.56
EO1,0.22429906542056074
EO2,0.0
EO3,0.04672897196261682
EO4,0.21904761904761905
IA1,0.010752688172043012
IA2,0.9528301886792453
IA3,0.8627450980392157
IA4,0.031914893617021274
IE1,0.1485148514851485
IE2,0.03125
IE3,0.047619047619047616
IE4,0.03669724770642202
II1,0.7714285714285715
II2,0.9494949494949495
II3,0.8623853211009175
II4,0.6428571428571429
IO1,0.3333333333333333
IO2,0.21153846153846154
IO3,0.6237623762376238
IO4,0.34408602150537637
OA1,0.050505050505050504
OA2,0.7850467289719626
OA3,0.28421052631578947
OA4,0.5306122448979592
OE1,0.0
OE2,0.4854368932038835
OE3,0.16
OE4,0.11538461538461539
OI1,0.4056603773584906
OI2,0.8137254901960784
OI3,0.5490196078431373
OI4,0.5729166666666666
OO1,0.45
OO2,0.7547169811320755
OO3,0.22772277227722773
OO4,0.797979797979798
