task_form,succes_simple_0.9999974
AA1,0.038461538461538464
AA2,0.010101010101010102
AA3,0.9393939393939394
AA4,0.0
AE1,0.0
AE2,0.0
AE3,0.020202020202020204
AE4,0.0
AI1,0.8910891089108911
AI2,0.019417475728155338
AI3,0.9345794392523364
AI4,0.019801980198019802
AO1,0.900990099009901
AO2,0.9433962264150944
AO3,0.010101010101010102
AO4,0.041666666666666664
EA1,0.0
EA2,0.0
EA3,0.0
EA4,0.0
EE1,0.9238095238095239
EE2,0.9326923076923077
EE3,0.9489795918367347
EE4,0.9150943396226415
EI1,0.01
EI2,0.009345794392523364
EI3,0.009900990099009901
EI4,0.0
EO1,0.8691588785046729
EO2,0.9207920792079208
EO3,0.9252336448598131
EO4,0.8761904761904762
IA1,0.043010752688172046
IA2,0.9245283018867925
IA3,0.9215686274509803
IA4,0.0425531914893617
IE1,0.009900990099009901
IE2,0.0
IE3,0.01904761904761905
IE4,0.0
II1,0.8666666666666667
II2,0.8585858585858586
II3,0.8807339449541285
II4,0.8571428571428571
IO1,0.8137254901960784
IO2,0.9038461538461539
IO3,0.9306930693069307
IO4,0.8172043010752689
OA1,0.8787878787878788
OA2,0.9065420560747663
OA3,0.8842105263157894
OA4,0.8469387755102041
OE1,0.7924528301886793
OE2,0.8349514563106796
OE3,0.88
OE4,0.875
OI1,0.8113207547169812
OI2,0.8725490196078431
OI3,0.8235294117647058
OI4,0.7708333333333334
OO1,0.84
OO2,0.8962264150943396
OO3,0.8514851485148515
OO4,0.7878787878787878
